ro,en,confidence,occurrences,votes
acasa,home,1,1,1
acasă,home,1,1,1
accepta,accept,1,1,1
aceea,THEREFORE,1,1,1
acelasi,same,1,1,1
același,same,1,1,1
aceste,these,1,1,1
acestei,of This,1,1,2
acestia,these,1,1,1
acțiunile,'s actions,1,1,2
activitate,activity,1,1,1
activitati,activity,1,1,1
activități,ACTIVITY,1,1,1
adevarat,true,1,1,1
adevărat,true,1,1,1
adevarata,true,1,1,1
adevărată,true,1,1,1
adevarati,real,1,1,1
adevărații,real,1,1,1
adica,THAT IS,1,1,2
aduca,bring,1,1,1
aducă,bring,1,1,1
aduce,bring,1,1,1
ajunge,reach,1,1,1
ajuta,help,1,1,1
ajută,help,1,1,1
ajutat,helped,1,1,1
ajute,help,1,1,1
ajutor,help,1,1,1
ajutorul,the help,1,1,2
alcool,alcohol,1,1,1
alege,choose,1,1,1
altele,Other,1,1,1
altii,others,1,1,1
alții,others,1,1,1
analizati,analyze,1,1,1
analizați,Review,1,1,1
analizeaza,CONSIDER,1,1,1
anume,certain,1,1,1
aplica,apply,1,1,1
aprilie,April,1,1,1
aproape,almost,1,1,1
aproba,approve,1,1,1
aprobă,approve,1,1,1
aprobat,approved,1,1,1
aprofundează,-Explore,1,1,1
arata,show,1,1,1
arată,show,1,1,1
arăta,show,1,1,1
arătăm,show,1,1,1
armonie,harmony,1,1,1
articol,article,1,1,1
asadar,therefore,1,1,1
așadar,therefore,1,1,1
asculta,listen,1,1,1
ascultă,listen,1,1,1
ascultat,listened to,1,1,2
asemanator,like,1,1,1
asemănător,like,1,1,1
asemenea,also,1,1,1
asista,assist,1,1,1
aspecte,AspEcts,1,1,1
asteapta,Wait,1,1,1
așteaptă,Wait,1,1,1
atentie,Careful,1,1,1
atenție,Careful,1,1,1
atins,reached,1,1,1
babilonul,BABYLON,1,1,1
banii,the money,1,1,2
barbat,man,1,1,1
bărbat,man,1,1,1
batrani,old,1,1,1
bătrâni,old,1,1,1
batranii,elderly,1,1,3
bătrânii,ELDERLY,1,1,3
batranilor,elderly,1,1,3
bătrânilor,elderly,1,1,3
biblice,Bible,1,1,1
biblie,Bible,1,1,1
Bibliei,Bible,1,1,1
binele,the good,1,1,2
botez,baptism,1,1,3
boteza,baptize,1,1,1
botezat,named,1,1,1
botezi,baptize,1,1,1
botezul,baptism,1,1,3
botezului,baptism,1,1,3
bucura,joy,1,1,1
bucură,joy,1,1,1
bucuram,enjoy,1,1,1
bucuria,joy,1,1,1
bucurie,joy,1,1,1
bunatate,kindness,1,1,1
bunătate,kindness,1,1,1
cadou,gift,1,1,1
calea,the way,1,1,2
calitati,qualities,1,1,1
calități,qualities,1,1,1
calitățile,qualities,1,1,1
capat,end,1,1,1
capăt,end,1,1,1
capitolul,Chapter,1,1,1
carte,book,1,1,1
carti,book,1,1,1
cărți,book,1,1,1
casatoria,marriage,1,1,1
căsătoria,marriage,1,1,1
casatorie,marriage,1,1,1
căsătorie,marriage,1,1,1
cateva,a few,1,1,2
câteva,a few,1,1,2
cauta,search for,1,1,2
caută,search for,1,1,2
cauza,cause,1,1,1
ceilalti,other,1,1,1
ceilalți,other,1,1,1
cerceteaza,Examine,1,1,1
cercetează,Examine,1,1,1
cerintele,requirements,1,1,1
cerințele,requirements,1,1,1
Cine,Who,1,1,1
cineva,someone,1,1,1
cinstit,honest,1,1,1
cinstiti,honest,1,1,1
cinstiți,Honor,1,1,1
citeste,read,1,1,1
citește,read,1,1,1
citesti,you read,1,1,2
citești,you read,1,1,2
citirea,reading,1,1,1
citirii,reading,1,1,1
cititi,Read,1,1,1
citiți,read,1,1,1
clara,clear,1,1,1
clară,clear,1,1,1
comiți,commit,1,1,1
conducatori,lead,1,1,1
conduce,lead,1,1,1
congregatia,congregation,1,1,3
congregația,Congregation,1,1,3
congregatie,congregation,1,1,3
congregație,congregation,1,1,3
congregatiei,congregation,1,1,3
congregației,congregation,1,1,3
consideră,CONSIDERS,1,1,1
constiinta,conscience,1,1,1
conștiința,conscience,1,1,1
conștiință,conscience,1,1,1
contine,contain,1,1,1
conține,contain,1,1,1
continua,continue,1,1,1
continuă,continue,1,1,1
continui,content,1,1,1
contribui,contribute,1,1,1
convingerile,BELIEFS,1,1,1
copiii,children,1,1,1
copiilor,children,1,1,1
copil,child,1,1,1
corpul,body,1,1,1
corpului,Corps,1,1,1
creat,creator,1,1,1
credem,BELIEVE,1,1,1
credinta,faith,1,1,1
credința,faith,1,1,1
credință,faith,1,1,1
crestin,Christian,1,1,1
creștin,Christian,1,1,1
crestina,CHRISTIAN,1,1,1
crestini,Christians,1,1,1
creștini,Christians,1,1,1
crestinii,Christians,1,1,1
creștinii,Christians,1,1,1
creștinilor,Christian,1,1,1
crezi,you believe,1,1,2
cunoaste,know,1,1,1
cunoaște,know,1,1,1
cunosti,know,1,1,1
cunostinta,knowledge,1,1,1
curaj,Courage,1,1,1
curand,soon,1,1,1
curând,soon,1,1,1
curata,cleanse,1,1,1
curată,cleanse,1,1,1
curățenia,cleaning,1,1,1
curati,clean,1,1,1
curați,clean,1,1,1
cuvantul,the word,1,1,2
cuvântul,the word,1,1,2
cuvinte,wORDS,1,1,1
cuvintele,the words,1,1,2
decat,than,1,1,1
decât,than,1,1,1
decembrie,December,1,1,1
decizia,Decision,1,1,1
decizie,decision,1,1,1
decizii,decisions,1,1,1
dedicat,dedicated,1,1,1
dedici,commit,1,1,1
demonii,demons,1,1,1
demonilor,demons,1,1,1
deoarece,because,1,1,1
descoperi,discover,1,1,1
determinat,determined,1,1,1
deveni,become,1,1,1
devii,BECOMING,1,1,1
dezonorează,dishonor,1,1,1
dezvaluie,reveal,1,1,1
dezvăluie,Reveals,1,1,1
diferite,differently,1,1,1
discipolii,followers,1,1,1
discutati,discussion,1,1,1
discutați,Discuss,1,1,1
divertismente,Entertainment,1,1,1
dorinta,desire,1,1,1
dorința,desire,1,1,1
dovedi,prove,1,1,1
dovedim,prove,1,1,1
dovezi,EVIDENCE,1,1,1
drept,justice,1,1,1
dreptul,right,1,1,1
dumnezeu,god,1,1,1
Dumnezeu,God,1,1,1
durere,pain,1,1,1
efect,effect,1,1,1
eforturi,efforts,1,1,1
evenimente,event,1,1,1
evitam,we avoid,1,1,2
exemplu,example,1,1,1
exemplul,Example,1,1,1
exista,exist,1,1,1
există,exist,1,1,1
existenta,existence,1,1,1
explica,explain,1,1,1
explică,explain,1,1,1
facem,we do,1,1,2
facut,made,1,1,1
făcut,made,1,1,1
familia,family,1,1,1
familie,family,1,1,1
familiei,Family,1,1,1
familii,families,1,1,1
faptul,the fact,1,1,2
februarie,February,1,1,1
femeie,woman,1,1,1
fericirea,happiness,1,1,1
fericita,happy,1,1,1
fericită,happy,1,1,1
fericiti,happy,1,1,1
fericiți,happy,1,1,1
fidel,faithfully,1,1,1
fiecare,each,1,1,1
fiind,being,1,1,1
fizic,physical,1,1,1
foloase,BENEFITED,1,1,1
folosește,use,1,1,1
folosești,use,1,1,1
folosi,use,1,1,1
folosim,we use,1,1,2
folosirea,use,1,1,1
folosit,used,1,1,1
fractiuni,fractions,1,1,1
fracțiuni,fractions,1,1,1
frate,brother,1,1,1
fratii,brothers,1,1,1
frații,brothers,1,1,1
fratilor,brothers,1,1,1
fraților,brother,1,1,1
frumoasa,beautiful,1,1,1
frumoasă,beautiful,1,1,1
frumoase,beautiful,1,1,1
gândește,thinks,1,1,1
gandeste-te,Think,1,1,1
gândește-te,Think,1,1,1
ganduri,thoughts,1,1,1
gânduri,thoughts,1,1,1
gandurile,thoughts,1,1,1
gândurile,thoughts,1,1,1
gresit,wrong,1,1,1
greșit,wrong,1,1,1
gresita,wrong,1,1,1
greșită,wrong,1,1,1
grija,care,1,1,1
grijă,care,1,1,1
guverneaza,GOVERNING,1,1,1
guvernează,GOVERNING,1,1,1
guvernele,GOVERNMENTS,1,1,1
guverneze,governor,1,1,1
hotărât,decided,1,1,1
hrana,food,1,1,1
hrană,food,1,1,1
ianuarie,January,1,1,1
ideea,the idea,1,1,2
identifica,identify,1,1,1
iehova,Jehovah,1,1,1
Iehova,Jehovah,1,1,1
ilustratia,illustration,1,1,1
ilustrația,the illustration,1,1,2
ilustratiile,illustrations,1,1,1
ilustrațiile,illustrations,1,1,1
imaginează,imagine,1,1,1
imagineaza-ti,imagine,1,1,1
imaginează-ți,imagine,1,1,1
imita,imitate,1,1,1
imoralitate,immorality,1,1,1
imoralitatea,immorality,1,1,1
impiedica,prevent,1,1,1
impiedice,prevent,1,1,1
implica,GET INVOLVED,1,1,2
implică,GET INVOLVED,1,1,2
implinit,fulfilled,1,1,1
împlinit,fulfilled,1,1,1
importanta,importance,1,1,1
importantă,importance,1,1,1
importante,important,1,1,1
impotriva,against,1,1,1
împotriva,against,1,1,1
impreuna,together,1,1,1
împreună,together,1,1,1
inainte,before,1,1,1
inaintea,before,1,1,1
înaintea,before,1,1,1
incearca,try,1,1,1
încearcă,try,1,1,1
incepe,start,1,1,1
începe,start,1,1,1
inceput,start,1,1,1
început,start,1,1,1
incercare,test,1,1,1
inchina,worship,1,1,1
inchinam,worship,1,1,1
închinăm,WORSHIP,1,1,1
inchinare,worship,1,1,1
închinare,worship,1,1,1
inchinarea,worship,1,1,1
închinarea,worship,1,1,1
incredere,trust,1,1,1
încredere,trust,1,1,1
increderea,trust,1,1,1
încrederea,trust,1,1,1
indeamna,urges,1,1,1
indiferent,indifferent,1,1,1
indruma,lead,1,1,1
indrumare,guidance,1,1,1
îndrumare,guidance,1,1,1
îndrumarea,guidance,1,1,1
infatisarea,appearance,1,1,1
înfățișarea,look,1,1,1
influenta,influence,1,1,1
influența,influence,1,1,1
îngeri,angels,1,1,1
ingerii,angels,1,1,1
îngerii,angels,1,1,1
ingriji,care,1,1,1
inima,heart,1,1,1
inimă,heart,1,1,1
inlatura,remove,1,1,1
inseamna,means,1,1,1
înseamnă,means,1,1,1
intampla,happen,1,1,1
întâmplă,happen,1,1,1
intari,strengthen,1,1,1
întări,strengthen,1,1,1
intelege,understand,1,1,1
înțelege,understand,1,1,1
intelegem,we understand,1,1,2
înțelegem,we understand,1,1,2
intelepciune,wisdom,1,1,1
înțelepciune,wisdom,1,1,1
intelept,wise,1,1,1
înțelept,wise,1,1,1
intelepte,wise,1,1,1
înțelepte,wise,1,1,1
interactiv,interactive,1,1,1
intotdeauna,ever,1,1,1
întotdeauna,ever,1,1,1
intr-o,IN A,1,1,2
într-o,One,1,1,1
intr-un,IN A,1,1,2
într-un,IN A,1,1,2
intre,between,1,1,1
intreaba,ask,1,1,1
întreabă,ask,1,1,1
intreba,ask,1,1,1
întreba,ask,1,1,1
intrebare,question,1,1,1
intrebari,question,1,1,1
întrebări,question,1,1,1
intrebarile,QUESTIONS,1,1,1
întrebările,QUESTIONS,1,1,1
intrerupta,interrupted,1,1,1
intrucat,because,1,1,1
întrucât,because,1,1,1
intrunire,meet,1,1,1
întrunire,meet,1,1,1
intruniri,meetings,1,1,1
întruniri,meetings,1,1,1
intrunirile,the meetings,1,1,2
întrunirile,meetings,1,1,1
invata,learn,1,1,1
învață,learn,1,1,1
învăța,learn,1,1,1
invatam,learn,1,1,1
învățăm,LEARNING,1,1,1
invatat,learned,1,1,1
învățat,learned,1,1,1
invataturile,TEACHINGS,1,1,1
învățăturile,teachings,1,1,1
inveti,you learn,1,1,2
înveți,you learn,1,1,2
invia,resurrected,1,1,1
inviati,resurrected,1,1,1
invinge,defeat,1,1,1
învinge,defeat,1,1,1
Isus,Jesus,1,1,1
iubeasca,love,1,1,1
iubească,love,1,1,1
iubesc,I love,1,1,2
iubeste,loves,1,1,1
iubește,loves,1,1,1
iubești,love,1,1,1
iubire,love,1,1,1
iubirea,love,1,1,1
iulie,July,1,1,1
jertfa,sacrifice,1,1,1
lecția,Lesson,1,1,1
lectie,lesson,1,1,1
lecție,lesson,1,1,1
lectiei,lesson,1,1,1
lecției,lesson,1,1,1
lectii,lessons,1,1,1
lecții,lessons,1,1,1
lectiile,the lessons,1,1,2
lecțiile,the lessons,1,1,2
legile,the laws,1,1,2
limba,language,1,1,1
locală,local,1,1,1
locul,place,1,1,1
loial,fair,1,1,1
loiali,loyalty,1,1,1
loialitatea,loyalty,1,1,1
lucrare,work,1,1,1
lucrarea,MINISTRY,1,1,1
lucruri,things,1,1,1
lucrurile,things,1,1,1
lumea,the world,1,1,2
lumii,THE WORLD,1,1,2
lupta,fight,1,1,1
majoritatea,the majority,0.5,1,1
mangaiere,comfort,1,1,1
mângâiere,comfort,1,1,1
manifestam,DEMONSTRATE,1,1,1
martie,March,1,1,1
martori,witnesses,1,1,1
martorii,witnesses,1,1,1
martorilor,witnesses,1,1,1
măsuri,are the measures,0.667,1,2
materiale,materials,1,1,1
materialul,MATERIAL,1,1,1
medicale,physician,1,1,1
membrii,members,1,1,1
mereu,always,1,1,1
merita,deserve,1,1,1
merită,deserve,1,1,1
mesajul,the message,1,1,2
mesia,Messiah,1,1,1
minciuna,lie,1,1,1
minciună,lie,1,1,1
miracolele,miracles,1,1,1
moarte,death,1,1,1
moartea,death,1,1,1
morții,death,1,1,1
morților,dead,1,1,1
motiv,reason,1,1,1
motive,STATEMENT,1,1,1
multe,many,1,1,1
multi,many,1,1,1
mulți,many,1,1,1
multor,SEVERAL,1,1,1
munca,work,1,1,1
muncă,work,1,1,1
murim,die,1,1,1
nastere,birth,1,1,1
naștere,birth,1,1,1
natura,nature,1,1,1
natură,nature,1,1,1
ne-ar,We would,1,1,2
neutralitatea,neutrality,1,1,1
neutri,neutral,1,1,1
nevoie,need,1,1,1
niciodata,never,1,1,1
niciodată,never,1,1,1
nimic,nothing,1,1,1
noiembrie,November,1,1,1
numit,appointed,1,1,1
oameni,people,1,1,1
oamenii,people,1,1,1
oamenilor,people,1,1,1
observa,notice,1,1,1
observă,notice,1,1,1
ochii,eyes,1,1,1
octombrie,October,1,1,1
oferi,offer,1,1,1
oferit,PROVIDED,1,1,1
onoare,honor,1,1,1
orice,any,1,1,1
originea,origin,1,1,1
pacat,sin,1,1,1
păcat,sin,1,1,1
pacatele,sins,1,1,1
păcatele,sins,1,1,1
pacatul,sin,1,1,1
păcatul,sin,1,1,1
pagina,page,1,1,1
pamant,earth,1,1,1
pământ,earth,1,1,1
paradis,paradise,1,1,1
parere,opinion,1,1,1
părere,opinion,1,1,1
parintii,parents,1,1,1
părinții,parents,1,1,1
parintilor,parents,1,1,1
părinților,fathers,1,1,1
parte,part,1,1,1
partea,part,1,1,1
Partea,part,1,1,1
participa,participate,1,1,1
pastram,we keep,1,1,2
păstrăm,we keep,1,1,2
patru,four,1,1,1
pavel,Paul,1,1,1
perioada,period,1,1,1
permite,allows,1,1,1
persecutii,persecution,1,1,1
persecuții,persecution,1,1,1
persecutiilor,persecution,1,1,1
persecuțiilor,persecution,1,1,1
persevera,persevere,1,1,1
persoana,person,1,1,1
persoană,person,1,1,1
persoane,people,1,1,1
personalitatea,personality,1,1,1
place,like,1,1,1
placut,pleasant,1,1,1
plăcut,pleasant,1,1,1
plăcută,pleasant,1,1,1
plăcuți,please,1,1,1
plină,full,1,1,1
pofida,DESPITE,1,1,1
porunca,command,1,1,1
posibil,possible,1,1,1
Poți,You can,1,1,2
practice,practical,1,1,1
predica,preach,1,1,3
predică,preach,1,1,3
predicam,preaching,1,1,3
predicare,preaching,1,1,3
predicarea,preaching,1,1,3
predicată,preached,1,1,3
pregati,prepare,1,1,1
pregăti,prepare,1,1,1
pregatit,prepared,1,1,1
pregătit,prepared,1,1,1
pretuieste,Cherish,1,1,1
prețuiește,cherish,1,1,1
prețuim,cherish,1,1,1
prevazator,cautious,1,1,1
prevăzător,cautious,1,1,1
prezent,present,1,1,1
prieten,friend,1,1,1
prieteni,friendship,1,1,1
prietenia,friendship,1,1,1
prietenii,friends,1,1,1
prietenul,friend,1,1,1
prima,received,1,1,1
primii,the first,1,1,2
primul,first,1,1,1
principii,pRINCIPLES,1,1,1
principiile,pRINCIPLES,1,1,1
priveste,looks at,0.5,1,1
privire,look,1,1,1
problema,problem,1,1,1
probleme,problems,1,1,1
problemele,the problems,1,1,2
progrese,progress,1,1,1
promisiunile,promises,1,1,1
promite,promise,1,1,1
punct,point,1,1,1
punctul,point,1,1,1
puterea,power,1,1,1
ramai,remain,1,1,1
rămâi,stay,1,1,1
rămână,stay,1,1,1
ramane,remain,1,1,1
rămâne,remain,1,1,1
raspunde,respond,1,1,1
răspunde,respond,1,1,1
raspunsuri,answers,1,1,1
răspunsuri,answers,1,1,1
realiza,realize,1,1,1
recunostinta,gratitude,1,1,1
recunoștință,gratitude,1,1,1
referitoare,RELATED,1,1,1
Regatul,United,1,1,1
regele,the king,1,1,2
relatiile,dealings,1,1,1
relațiile,RELATIONS,1,1,1
religia,religion,1,1,1
religie,religion,1,1,1
religii,RELIGION,1,1,1
religiile,religions,1,1,1
reprezinta,represents,1,1,1
reprezintă,represents,1,1,1
respecta,respect,1,1,1
respectă,respect,1,1,1
respectam,We respect,1,1,2
respectăm,RESPECT,1,1,1
reusit,successful,1,1,1
reușit,successful,1,1,1
rezumat,summary,1,1,1
rolul,role,1,1,1
rugaciune,prayer,1,1,1
rugăciune,prayer,1,1,1
rugaciunea,prayer,1,1,1
rugăciunea,prayer,1,1,1
rugaciunile,the prayers,1,1,2
rugăciunile,prayers,1,1,1
rugam,Please,1,1,1
rugăm,Please,1,1,1
sa-si,Let them,1,1,2
să-și,Let him,1,1,2
sa-ti,Let me,1,1,2
să-ți,TO YOUR,1,1,2
sanatatea,health,1,1,1
sănătatea,health,1,1,1
sange,blood,1,1,1
sânge,blood,1,1,1
sangele,blood,1,1,1
sangelui,blood,1,1,1
saptamani,wEEKLY,1,1,1
săptămâni,wEEKLY,1,1,1
sapte,seven,1,1,1
șapte,seven,1,1,1
sarbatori,holidays,1,1,1
sărbători,celebrate,1,1,1
sărbătorile,Holidays,1,1,1
schimba,change,1,1,1
schimbă,change,1,1,1
schimbari,change,1,1,1
schimbări,change,1,1,1
schimbat,change,1,1,1
sclavul,slave,1,1,1
sclavului,slave,1,1,1
scopul,purpose,1,1,1
scris,written,1,1,1
secolul,CENTURY,1,1,1
sectiunea,section,1,1,1
secțiunea,section,1,1,1
septembrie,September,1,1,1
sexuala,sexually,1,1,1
sfaturi,tips,1,1,1
si-au,Have,1,1,1
siguranta,safety,1,1,1
siguranță,safety,1,1,1
simte,feels,1,1,1
simti,feel,1,1,1
simți,feel,1,1,1
simtit,sense,1,1,1
singur,single,1,1,1
situatia,the situation,1,1,2
situația,the situation,1,1,2
situatii,situations,1,1,1
situații,situations,1,1,1
slujeasca,serve,1,1,1
slujească,serve,1,1,1
sluji,serve,1,1,1
slujitorii,servants,1,1,1
sotia,wife,1,1,1
soția,wife,1,1,1
sotul,husband,1,1,1
soțul,husband,1,1,1
speranta,hope,1,1,1
speranța,hope,1,1,1
speranță,hope,1,1,1
spiritismul,spiritism,1,1,1
spiritul,the spirit,1,1,2
spune,say,1,1,1
stiai,Did you know,1,1,3
știai,Did you know,1,1,3
stiind,knowing,1,1,1
știind,knowing,1,1,1
stiinta,science,1,1,1
straduim,strive,1,1,1
străduim,strive,1,1,1
stransa,close,1,1,1
strânsă,CLOSELY,1,1,1
studia,study,1,1,1
studiere,learning,1,1,1
studiezi,you study,1,1,2
studiu,study,1,1,1
studiul,the study,1,1,2
sufera,suffer,1,1,1
suferă,suffers,1,1,1
suferim,suffer,1,1,1
suferinta,suffering,1,1,1
suferința,suffering,1,1,1
suferință,suffering,1,1,1
sugestii,Related,1,1,1
surorile,sisters,1,1,1
sustine,support,1,1,1
susține,support,1,1,1
tanar,young,1,1,1
tânăr,young,1,1,1
tarziu,late,1,1,1
târziu,late,1,1,1
tatăl,father,1,1,1
te-ar,You would,1,1,2
ti-ai,Have you,1,1,2
timpul,time,1,1,1
toata,all,1,1,1
toată,all,1,1,1
totdeauna,always,1,1,1
totii,all,1,1,1
totusi,however,1,1,1
traducerea,translation,1,1,1
trebuie,must,1,1,1
treziți,Wake,1,1,1
treziți-vă,wake up,1,1,2
turnul,the tower,1,1,2
tuturor,to everyone,1,1,2
umana,human,1,1,1
unele,some,1,1,1
uneori,sometimes,1,1,1
urmatoarele,the following,1,1,2
următoarele,the following,1,1,2
vazut,seen,1,1,1
văzut,seen,1,1,1
vedea,see,1,1,1
vedere,view,1,1,1
veghe,watch,1,1,1
verset,verse,1,1,1
versete,verses,1,1,1
versetele,verses,1,1,1
vestii,the news,1,1,2
veștii,news,1,1,1
viata,life,1,1,1
viața,life,1,1,1
viață,life,1,1,1
vietii,life,1,1,1
vieții,LEARNING,1,1,1
viitor,future,1,1,1
vizionati,Preview,1,1,1
vizionați,watching,1,1,1
vorbeasca,speak,1,1,1
vorbeste,speaks,1,1,1
vorbește,speaks,1,1,1
vorbesti,you speak,1,1,2
vorbești,you speak,1,1,2
vorbire,speaking,1,1,1
vreodata,ever,1,1,1
vreodată,ever,1,1,1
